Country Rank,Country / Territory,CPI 2010 Score,Surveys Used,Standard Deviation,Minimum score,Maximum score,90% Confidence Interval (Lower bound),90% Confidence Interval (Higher bound),ADB 2009,AfDB 2009,BF 2009,EIU 2010,FH 2010,GI 2010,IMD 2009,IMD 2010,PERC2009,PERC2010,WB 2009,WEF 2009,WEF 2010
1,Denmark,9.3,6,0.2,8.9,9.5,9.1,9.4,,,,8.9,,9.2,9.5,9.5,,,,9.5,9.2
1,New Zealand,9.3,6,0.2,8.9,9.5,9.2,9.5,,,,8.9,,9.2,9.5,9.5,,,,9.5,9.5
1,Singapore,9.3,9,0.2,8.9,9.5,9.2,9.4,,,9.3,8.9,,9.2,9.3,9.2,9.3,9.4,,9.3,9.5
4,Finland,9.2,6,0.2,8.9,9.5,9.1,9.3,,,,8.9,,9.2,9.5,9.4,,,,9.2,9.1
4,Sweden,9.2,6,0.2,8.9,9.5,9.1,9.4,,,,8.9,,9.2,9.2,9.3,,,,9.5,9.4
6,Canada,8.9,6,0.3,8.4,9.2,8.7,9,,,,8.9,,9.2,8.9,8.8,,,,8.4,8.9
7,Netherlands,8.8,6,0.3,8.5,9.2,8.7,9,,,,8.9,,9.2,9,8.9,,,,8.6,8.5
8,Australia,8.7,8,0.6,7.5,9.2,8.3,9,,,,8.9,,9.2,9.2,9.1,8.4,8.9,,7.5,8.3
8,Switzerland,8.7,6,0.7,7.4,9.1,8.3,9.1,,,,8.9,,7.4,9.1,9.1,,,,8.9,9
10,Norway,8.6,6,0.7,7.4,9.3,8.1,9,,,,8.9,,7.4,8.1,8.4,,,,9.1,9.3
11,Iceland,8.5,5,1.1,6.8,9.2,7.7,9.2,,,,6.8,,9.2,,7.9,,,,9.2,9.1
11,Luxembourg,8.5,5,0.6,7.4,9,8,8.9,,,,,,7.4,8.6,9,,,,9,8.4
13,Hong Kong,8.4,8,0.5,7.4,8.9,8.1,8.7,,,,8.9,,7.4,8.4,8.2,8.9,8.4,,7.9,8.9
14,Ireland,8,6,0.5,7.4,8.9,7.7,8.3,,,,8.9,,7.4,7.9,8,,,,7.9,8
15,Austria,7.9,6,0.7,6.8,8.9,7.4,8.4,,,,6.8,,7.4,8.1,8.9,,,,8.4,7.9
15,Germany,7.9,6,0.6,7.2,8.9,7.5,8.3,,,,8.9,,7.4,7.5,8.1,,,,8.1,7.2
17,Barbados,7.8,4,0.9,6.8,8.9,7.1,8.5,,,,8.9,,7.4,,,,,,6.8,8.1
17,Japan,7.8,8,0.6,6.8,8.8,7.5,8.2,,,,6.8,,7.4,7.5,8.5,7.5,7.7,,8.1,8.8
19,Qatar,7.7,7,1.6,4.5,9.2,6.6,8.6,,,4.5,6.8,,9.2,8.4,8.3,,,,9.1,7.6
20,United Kingdom,7.6,6,0.5,6.8,8.2,7.3,7.9,,,,6.8,,7.4,7.9,7.7,,,,7.5,8.2
21,Chile,7.2,7,0.3,6.8,7.7,7,7.4,,,7,6.8,,7.4,6.9,7.3,,,,7.1,7.7
22,Belgium,7.1,6,0.2,6.8,7.4,6.9,7.2,,,,6.8,,7.4,7.1,6.9,,,,7.1,6.9
22,United States,7.1,8,1.1,5.7,8.9,6.5,7.7,,,,8.9,,7.4,6.8,6.7,7.5,7.9,,5.7,5.7
24,Uruguay,6.9,5,0.4,6.2,7.4,6.5,7.1,,,7,6.8,,7.4,,,,,,6.2,6.7
25,France,6.8,6,0.6,5.8,7.5,6.4,7.2,,,,6.8,,5.8,7.5,7.2,,,,6.7,6.9
26,Estonia,6.5,8,0.7,5.1,7.1,6.1,6.8,,,7,5.1,6.8,5.8,7.1,6.8,,,,7.1,6.3
27,Slovenia,6.4,8,0.9,5,7.4,5.9,6.8,,,6.7,6.8,6.8,7.4,6.2,5,,,,6.9,5.2
28,Cyprus,6.3,4,0.4,5.8,6.8,6,6.6,,,,6.8,,5.8,,,,,,6.1,6.3
28,United Arab Emirates,6.3,5,1.3,4.9,7.5,5.4,7.3,,,4.9,5.1,,7.4,,,,,,7.5,6.8
30,Israel,6.1,6,0.7,5.1,7.2,5.7,6.6,,,,5.1,,5.8,6.7,6,,,,7.2,6
30,Spain,6.1,6,0.6,5.3,6.8,5.7,6.5,,,,6.8,,5.8,6.6,6.3,,,,5.6,5.3
32,Portugal,6,6,0.9,5,7.4,5.4,6.7,,,,6.8,,7.4,5.3,5,,,,6,5.6
33,Botswana,5.8,6,0.6,5.2,6.8,5.4,6.2,,5.6,6,6.8,,5.8,,,,,,5.2,5.3
33,Puerto Rico,5.8,4,0.7,5.2,6.8,5.3,6.4,,,,6.8,,5.8,,,,,,5.5,5.2
33,Taiwan,5.8,9,0.7,5.1,7.1,5.5,6.2,,,6.7,5.1,,5.8,5.8,7.1,5.2,5.4,,5.7,5.8
36,Bhutan,5.7,4,0.7,5.1,6.6,5.1,6.2,5.1,,5.2,,,5.8,,,,,6.6,,
37,Malta,5.6,3,0.3,5.3,5.8,5.3,5.8,,,,,,5.8,,,,,,5.3,5.5
38,Brunei,5.5,3,0.7,4.7,6.1,4.7,6.1,,,,,,4.7,,,,,,6.1,5.7
39,Korea (South),5.4,9,0.5,4.6,6,5.1,5.7,,,6,5.1,,4.7,5.7,5.8,5.8,5.6,,5.2,4.6
39,Mauritius,5.4,6,0.8,4.7,6.8,4.9,5.9,,4.8,5.6,6.8,,4.7,,,,,,5.2,5.2
41,Costa Rica,5.3,5,1,4.7,6.8,4.7,6,,,5.6,6.8,,4.7,,,,,,4.7,4.7
41,Oman,5.3,5,1.6,3.1,7.1,4.1,6.4,,,3.1,5.1,,4.7,,,,,,6.5,7.1
41,Poland,5.3,8,0.4,4.7,5.8,5,5.5,,,5.6,5.1,5.1,5.8,4.9,4.7,,,,5.8,5.1
44,Dominica,5.2,3,0.6,4.7,5.8,4.7,5.8,,,,5.1,,5.8,,,,,4.7,,
45,Cape Verde,5.1,4,1.3,3.4,6.6,4.1,6.1,,5.6,,,,3.4,,,,,6.6,,5
